testset,testset_idx,n_samples,is_source,is_target,is_clean,true_acc,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,mano_fro_norm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
corr_source_motion_blur_sev2,15,1700,True,False,False,0.8647058823529412,0.8647058823529412,0.8858823529411765,0.98989898989899,0.98989898989899,0.12519310754604873,0.10401663695781349,0.956610941190554,0.9579015643761394,0.0919050588376128,0.07201921143496293,0.9212170109058688,0.785882294178009,0.07882358817493218,0.10000005876316742,0.7752940654754639,0.08941181687747735,0.11058828746571259,0.9375567436218262,0.07285086126888496,0.05167439068064972,0.9375499486923218,0.07284406633938056,0.05166759575114532,0.9122845109364361,0.04757862858349493,0.02640215799525969
corr_source_motion_blur_sev3,16,1700,True,False,False,0.76,0.76,0.8076470588235294,0.9715668481548699,0.9722212732642967,0.21156684815486992,0.16457421444076736,0.8486951605640481,0.8859969455645216,0.08869516056404814,0.07834988674099219,0.8429956429327515,0.6235293745994568,0.13647062540054322,0.1841176842240726,0.6058823466300964,0.15411765336990357,0.20176471219343295,0.8712584376335144,0.1112584376335144,0.06361137880998502,0.87125164270401,0.11125164270401,0.06360458388048063,0.8239498115432197,0.06394981154321966,0.016302752719690283
corr_source_motion_blur_sev4,17,1700,True,False,False,0.5852941176470589,0.5852941176470589,0.7205882352941176,0.9314896291640478,0.9337166810640283,0.3461955115169889,0.21312844576991063,0.6885555974454283,0.855125616017012,0.10326147979836942,0.13453738072289434,0.7242881844480058,0.4129411578178406,0.17235295982921828,0.30764707747627706,0.3894117474555969,0.19588237019146193,0.3311764878385207,0.7713589668273926,0.18606484918033372,0.05077073153327494,0.7713521718978882,0.18605805425082933,0.05076393660377054,0.6915103620207157,0.10621624437365684,0.029077873273401944
corr_source_motion_blur_sev5,18,1700,True,False,False,0.49117647058823527,0.49117647058823527,0.6994117647058824,0.8801054018445322,0.880120062346449,0.38892893125629696,0.18070829764056662,0.5910398357793466,0.8323289173691686,0.09986336519111133,0.1329171526632862,0.6429622122964805,0.3011764585971832,0.19000001199105204,0.39823530610869917,0.27705880999565125,0.21411766059258402,0.42235295471023115,0.70389723777771,0.2127207671894747,0.0044854730718275615,0.7038904428482056,0.2127139722599703,0.004478678142323167,0.6101841600765805,0.11900768948834523,0.0892276046293019
corr_source_brightness_sev1,19,1700,True,False,False,0.9723529411764706,0.9723529411764706,0.9741176470588235,0.9976415094339622,0.9976498302424042,0.025288568257491595,0.023532183183580635,0.9962997813817701,0.9972644966173405,0.02394684020529947,0.02314684955851698,0.9831211143095542,0.9517646431922913,0.020588297984179382,0.022353003866532273,0.9488235116004944,0.023529429575976257,0.025294135458329148,0.9880326986312866,0.01567975745481598,0.013915051572463089,0.9880259037017822,0.015672962525311585,0.013908256642958694,0.9804296934743817,0.00807675229791105,0.006312046415558159
corr_source_brightness_sev2,20,1700,True,False,False,0.9652941176470589,0.9652941176470589,0.9682352941176471,0.9976415094339622,0.9982380671754426,0.03234739178690338,0.03000277305779553,0.9953540375593183,0.9954463415886646,0.030059919912259425,0.027211047471017547,0.9791002442417263,0.9388235211372375,0.02647059650982131,0.029411772980409534,0.9370588064193726,0.0282353112276863,0.031176487698274524,0.9837682247161865,0.018474107069127665,0.01553293059853944,0.9837614297866821,0.01846731213962327,0.015526135669035046,0.9739550539763824,0.00866093632932352,0.005719759858735296
corr_source_brightness_sev3,21,1700,True,False,False,0.9547058823529412,0.9547058823529412,0.96,0.9976415094339622,0.9976415094339622,0.042935627081021055,0.03764150943396227,0.9920639445849713,0.9920639445849713,0.03735806223203009,0.032063944584971305,0.9707899086663806,0.9141176342964172,0.040588248056523946,0.04588236570358273,0.9105882048606873,0.044117677492253926,0.04941179513931271,0.9764122366905212,0.02170635433758006,0.016412236690521276,0.9764054417610168,0.021699559408075664,0.01640544176101688,0.9632322951737665,0.008526412820825335,0.003232295173766553
corr_source_brightness_sev4,22,1700,True,False,False,0.9276470588235294,0.9276470588235294,0.9347058823529412,0.9970501474926253,0.9970563876834286,0.06940308866909595,0.06235050533048747,0.9876447864857868,0.9877021698901414,0.059997727662257416,0.052996287537200204,0.9617142165539283,0.8911764621734619,0.036470596650067466,0.04352942017947925,0.8876470327377319,0.04000002608579745,0.04705884961520923,0.9701487421989441,0.04250168337541471,0.03544285984600293,0.9701419472694397,0.04249488844591032,0.03543606491649853,0.9493345118220671,0.021687452998537693,0.014628629469125909
corr_source_brightness_sev5,23,1700,True,False,False,0.9076470588235294,0.9076470588235294,0.9176470588235294,0.990498812351544,0.9929299986027664,0.08285175352801466,0.07528293977923706,0.9760382829392861,0.977915732138662,0.06839122411575671,0.06026867331513264,0.9464615621947455,0.8482352495193481,0.05941180930418122,0.06941180930418123,0.8417646884918213,0.06588237033170807,0.07588237033170808,0.9575172066688538,0.0498701478453244,0.03987014784532439,0.9575104117393494,0.04986335291582,0.039863352915819994,0.9342814829312284,0.026634424107699006,0.016634424107698997
corr_source_zoom_blur_sev1,24,1700,True,False,False,0.8152941176470588,0.8152941176470588,0.8547058823529412,0.9880952380952381,0.9881223984531275,0.1728011204481793,0.13341651610018634,0.9505358140232111,0.9505358140232111,0.13524169637615224,0.09582993167026987,0.8966778432751137,0.7264705300331116,0.08882358761394726,0.12823535231982963,0.7076470255851746,0.10764709206188428,0.14705885676776664,0.9167079329490662,0.10141381530200733,0.06200205059612496,0.9167011380195618,0.10140702037250293,0.06199525566662056,0.8465292114324146,0.031235093785355716,0.008176670920526652
