dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,seed_123,val_target,7.202878,0.292926,0.754896,0.730790,0.765110,0.093922,0.088904,0.114571
breeds,entity13,seed_123,val_target,7.293933,0.303027,0.750370,0.726536,0.760392,0.091088,0.086331,0.112231
breeds,entity13,seed_123,val_target,7.386877,0.313129,0.745492,0.722098,0.755590,0.088305,0.083743,0.110067
breeds,entity13,seed_123,val_target,7.476557,0.323230,0.740274,0.717144,0.750597,0.085821,0.081219,0.108107
breeds,entity13,seed_123,val_target,7.569061,0.333331,0.735372,0.712347,0.745259,0.083142,0.078877,0.105845
breeds,entity13,seed_123,val_target,7.660872,0.343427,0.729870,0.707585,0.739950,0.080360,0.076445,0.103983
breeds,entity13,seed_123,val_target,7.750815,0.353528,0.724435,0.702523,0.734539,0.077717,0.074012,0.102000
breeds,entity13,seed_123,val_target,7.843070,0.363629,0.718975,0.697521,0.729271,0.074945,0.071389,0.099970
breeds,entity13,seed_123,val_target,7.932337,0.373731,0.713430,0.692028,0.723302,0.072474,0.069241,0.097943
breeds,entity13,seed_123,val_target,8.023446,0.383832,0.707644,0.686700,0.717429,0.069789,0.066945,0.096045
breeds,entity13,seed_123,val_target,8.113422,0.393933,0.701651,0.681231,0.711293,0.067130,0.064789,0.094259
breeds,entity13,seed_123,val_target,8.201947,0.404034,0.695197,0.675316,0.704767,0.064756,0.062888,0.092799
breeds,entity13,seed_123,val_target,8.288832,0.414136,0.688877,0.669376,0.698772,0.062321,0.060468,0.091168
breeds,entity13,seed_123,val_target,8.373290,0.424237,0.682363,0.663075,0.692347,0.060114,0.058337,0.089658
breeds,entity13,seed_123,val_target,8.459844,0.434338,0.675970,0.656756,0.685831,0.057845,0.056209,0.087976
breeds,entity13,seed_123,val_target,8.547846,0.444440,0.669638,0.650555,0.679151,0.055386,0.054152,0.086180
breeds,entity13,seed_123,val_target,8.634599,0.454541,0.663051,0.643921,0.671895,0.053233,0.052547,0.084555
breeds,entity13,seed_123,val_target,8.724476,0.464642,0.656222,0.637244,0.665116,0.051039,0.050435,0.083083
breeds,entity13,seed_123,val_target,8.810527,0.474744,0.649381,0.630133,0.658103,0.049175,0.048466,0.081594
breeds,entity13,seed_123,val_target,8.898343,0.484845,0.642285,0.623289,0.651396,0.046977,0.046121,0.080269
breeds,entity13,seed_123,val_target,8.987930,0.494946,0.635020,0.616260,0.644273,0.044876,0.044095,0.079076
breeds,entity13,seed_123,val_target,9.079801,0.505042,0.627942,0.609309,0.637057,0.042615,0.042086,0.077640
breeds,entity13,seed_123,val_target,9.167086,0.515143,0.620628,0.602089,0.629561,0.040531,0.040276,0.076385
