testset,testset_idx,n_samples,is_source,is_target,is_clean,true_acc,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,mano_fro_norm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
corr_source_contrast_sev3,61,1700,True,False,False,0.831764705882353,0.831764705882353,0.86,0.9892984542211652,0.9911324053997342,0.15753374833881229,0.13113240539973425,0.9395750214669837,0.940953718166241,0.10781031558463072,0.08095371816624097,0.9069297855395506,0.7488235235214233,0.08294118236092962,0.11117647647857665,0.7364705801010132,0.09529412578133978,0.1235294198989868,0.9250087141990662,0.0932440083167132,0.06500871419906618,0.9250019192695618,0.0932372133872088,0.06500191926956178,0.8863953191558765,0.05463061327352359,0.026395319155876562
corr_source_contrast_sev4,62,1700,True,False,False,0.581764705882353,0.581764705882353,0.7264705882352941,0.9493201483312732,0.9500269032211154,0.36755544244892024,0.2235563149858213,0.7600709010974784,0.8143542789234145,0.17830619521512547,0.08788369068812041,0.7510590516142657,0.44647055864334106,0.1352941472390119,0.280000029591953,0.42176470160484314,0.16000000427750982,0.30470588663045095,0.7955924868583679,0.21382778097601496,0.06912189862307383,0.7955856919288635,0.21382098604651056,0.06911510369356944,0.7006821724153275,0.11891746653297453,0.025788415819966604
corr_source_contrast_sev5,63,1700,True,False,False,0.26588235294117646,0.26588235294117646,0.7829411764705883,0.8939492517891997,0.8941849393872708,0.6280668988480232,0.11124376291668259,0.5963184916860103,0.7185997660324778,0.3304361387448338,0.06434141043811048,0.5224100686694348,0.14176470041275024,0.12411765252842621,0.641176476057838,0.11764705181121826,0.1482353011299582,0.66529412465937,0.621038556098938,0.35515620315776153,0.16190262037165026,0.6210317611694336,0.35514940822825714,0.16190941530115466,0.4341997117034916,0.16831735876231513,0.34874146476709666
corr_source_elastic_transform_sev1,64,1700,True,False,False,0.9588235294117647,0.9588235294117647,0.9623529411764706,0.9976415094339622,0.9976415094339622,0.038817980022197496,0.035288568257491604,0.9938899634943094,0.9938899634943094,0.03506643408254462,0.031537022317838725,0.9750890235780528,0.9311764240264893,0.027647105385275483,0.031176517149981375,0.9252941012382507,0.03352942817351401,0.0370588399382199,0.9814202785491943,0.022596749137429595,0.019067337372723703,0.9814134836196899,0.0225899542079252,0.019060542443219308,0.9713847935108428,0.012561264099078095,0.009031852334372203
corr_source_elastic_transform_sev2,65,1700,True,False,False,0.8688235294117647,0.8688235294117647,0.8894117647058823,0.9820359281437125,0.9827440126095672,0.11321239873194788,0.09333224790368488,0.9652913528777238,0.9659668603482554,0.09646782346595917,0.07655509564237306,0.921330116579881,0.787647008895874,0.08117652051589064,0.10176475581000832,0.7752940654754639,0.0935294639363008,0.11411769923041848,0.9365479350090027,0.06772440559723802,0.04713617030312034,0.9365411400794983,0.06771761066773363,0.047129375373615945,0.9127233805816997,0.043899851169935,0.023311615875817315
corr_source_elastic_transform_sev3,66,1700,True,False,False,0.94,0.94,0.9505882352941176,0.9970501474926253,0.997649484426258,0.05705014749262538,0.04706124913214038,0.9897003255161897,0.9901952172374483,0.04970032551618975,0.03960698194333068,0.9631544206600603,0.8935293555259705,0.04647064447402949,0.057058879768147164,0.8870587944984436,0.05294120550155634,0.06352944079567402,0.9717960953712463,0.03179609537124639,0.021207860077128715,0.9717893004417419,0.031789300441742,0.02120106514762432,0.9559978276270364,0.0159978276270365,0.005409592332918822
corr_source_elastic_transform_sev4,67,1700,True,False,False,0.8864705882352941,0.8864705882352941,0.908235294117647,0.98989898989899,0.9905102932438573,0.10342840166369582,0.08227499912621028,0.9743091038371433,0.9743091038371433,0.08783851560184919,0.06607380971949628,0.9348419695718692,0.818823516368866,0.06764707186642815,0.08941177774878106,0.8105881810188293,0.07588240721646478,0.09764711309881768,0.9484697580337524,0.06199916979845832,0.04023446391610541,0.948462963104248,0.061992374868953926,0.04022766898660102,0.9119325565536981,0.02546196831840397,0.003697262436051063
corr_source_elastic_transform_sev5,68,1700,True,False,False,0.6829411764705883,0.6829411764705883,0.7447058823529412,0.9696969696969697,0.9703557932263814,0.28675579322638145,0.22564991087344022,0.8984928263355475,0.9016742297935137,0.21555164986495923,0.15696834744057253,0.8405540993929779,0.5835294127464294,0.09941176372415883,0.16117646960651177,0.5647058486938477,0.11823532777674062,0.18000003365909356,0.8745222687721252,0.19158109230153697,0.12981638641918403,0.8745154738426208,0.19157429737203258,0.12980959148967963,0.7368991378055733,0.05395796133498498,0.007806744547367961
corr_source_pixelate_sev1,69,1700,True,False,False,0.94,0.94,0.9458823529411765,0.9958653278204371,0.9964625968520899,0.05586532782043718,0.050580243910913425,0.9881484911917414,0.9896574155909261,0.04814849119174147,0.04377506264974962,0.9683321199272077,0.9017646908760071,0.03823530912399287,0.04411766206516943,0.8994117379188538,0.04058826208114619,0.04647061502232275,0.975001335144043,0.03500133514404302,0.02911898220286646,0.9749945402145386,0.03499454021453863,0.029112187273362067,0.9585019158755772,0.018501915875577257,0.012619562934400697
corr_source_pixelate_sev2,70,1700,True,False,False,0.928235294117647,0.928235294117647,0.93,0.9940828402366864,0.9946843021232161,0.06584754611903931,0.06468430212321608,0.9861203795287726,0.9861203795287726,0.05788508541112558,0.05612037952877258,0.9611157092076433,0.8835293650627136,0.044705929054933424,0.046470634937286426,0.8788235187530518,0.04941177536459529,0.05117648124694829,0.9694538116455078,0.041218517527860765,0.039453811645507764,0.9694470167160034,0.04121172259835637,0.03944701671600337,0.9476547210497219,0.01941942693207488,0.017654721049721878
