dataset,breeds_name,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,corr_source_brightness_sev1,16.446476,0.908923,0.151846,0.151367,0.176059,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,16.647369,0.918923,0.141846,0.141384,0.166077,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,16.880527,0.929077,0.131692,0.131247,0.155941,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,17.146442,0.939231,0.121538,0.121110,0.145805,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,17.452141,0.949231,0.111538,0.111127,0.135822,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,17.783936,0.959385,0.101385,0.100990,0.125686,0.000844,0.000877,0.001005
breeds,entity13,corr_source_brightness_sev1,18.175306,0.969538,0.091231,0.090905,0.115603,0.000000,0.000000,0.001005
breeds,entity13,corr_source_brightness_sev1,18.671858,0.979538,0.081231,0.080905,0.105603,0.000000,0.000000,0.001005
breeds,entity13,corr_source_brightness_sev1,19.516464,0.989692,0.071385,0.070751,0.095450,0.000000,0.000000,0.000000
breeds,entity13,corr_source_brightness_sev1,25.428146,0.999846,0.061231,0.060597,0.085296,0.000000,0.000000,0.000000
