dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,val_target,0.111099,0.707605,0.875499,0.893397,0.079934,0.018884,0.287701
breeds,nonliving26,val_target,0.121205,0.709518,0.873838,0.885281,0.076049,0.017969,0.284157
breeds,nonliving26,val_target,0.131310,0.711340,0.870943,0.877073,0.072783,0.017086,0.280603
breeds,nonliving26,val_target,0.141401,0.713057,0.868443,0.868595,0.069218,0.016348,0.277034
breeds,nonliving26,val_target,0.151506,0.714849,0.865740,0.860204,0.065680,0.015532,0.273323
breeds,nonliving26,val_target,0.161611,0.716611,0.862568,0.851822,0.062337,0.014691,0.269520
breeds,nonliving26,val_target,0.171702,0.718148,0.859685,0.843196,0.058746,0.013986,0.265805
breeds,nonliving26,val_target,0.181807,0.720211,0.855857,0.834563,0.055635,0.013259,0.261647
breeds,nonliving26,val_target,0.191913,0.721039,0.851793,0.825845,0.052593,0.012567,0.258158
breeds,nonliving26,val_target,0.202003,0.722154,0.846942,0.816740,0.049975,0.012108,0.254402
breeds,nonliving26,val_target,0.212108,0.722289,0.841631,0.807803,0.047573,0.011522,0.251166
breeds,nonliving26,val_target,0.222214,0.722937,0.836426,0.799388,0.045041,0.010585,0.247512
breeds,nonliving26,val_target,0.232319,0.723373,0.830641,0.790235,0.042820,0.010104,0.243890
breeds,nonliving26,val_target,0.242410,0.724036,0.824972,0.781155,0.040473,0.009572,0.240060
breeds,nonliving26,val_target,0.252515,0.724533,0.819002,0.772152,0.038253,0.008964,0.236214
breeds,nonliving26,val_target,0.262620,0.724518,0.813048,0.762935,0.035963,0.008484,0.232593
breeds,nonliving26,val_target,0.272711,0.724157,0.806955,0.753729,0.033713,0.007994,0.229138
breeds,nonliving26,val_target,0.282816,0.723509,0.800277,0.744391,0.031799,0.007572,0.225783
breeds,nonliving26,val_target,0.292922,0.723102,0.793487,0.734933,0.029909,0.007222,0.222146
breeds,nonliving26,val_target,0.303012,0.722199,0.786259,0.725451,0.028289,0.006890,0.218777
breeds,nonliving26,val_target,0.313117,0.721913,0.779147,0.716101,0.026525,0.006442,0.214829
breeds,nonliving26,val_target,0.323223,0.720422,0.771732,0.706724,0.024934,0.005999,0.211692
breeds,nonliving26,val_target,0.333328,0.720286,0.763790,0.696958,0.023689,0.005836,0.207422
breeds,nonliving26,val_target,0.343419,0.719262,0.756166,0.687533,0.022175,0.005419,0.203702
breeds,nonliving26,val_target,0.353524,0.717892,0.748329,0.677826,0.020768,0.005196,0.200126
