dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,living17,val_target,0.030284,0.827839,0.964002,0.969731,0.010808,0.002630,0.163285
breeds,living17,val_target,0.040393,0.826363,0.956359,0.960358,0.009636,0.002274,0.160508
breeds,living17,val_target,0.050503,0.825477,0.948490,0.950607,0.008559,0.002109,0.157367
breeds,living17,val_target,0.060590,0.824295,0.940271,0.940883,0.007657,0.001938,0.154313
breeds,living17,val_target,0.070700,0.822410,0.931956,0.931183,0.006775,0.001739,0.151571
breeds,living17,val_target,0.080787,0.819910,0.923339,0.921419,0.006049,0.001582,0.149095
breeds,living17,val_target,0.090897,0.817025,0.914561,0.911763,0.005384,0.001350,0.146788
breeds,living17,val_target,0.101006,0.814685,0.905580,0.901882,0.004817,0.001239,0.144110
breeds,living17,val_target,0.111093,0.812141,0.896499,0.891820,0.004306,0.001239,0.141503
breeds,living17,val_target,0.121203,0.808483,0.887218,0.881838,0.003883,0.001180,0.139463
breeds,living17,val_target,0.131290,0.804303,0.877988,0.872145,0.003435,0.000967,0.137662
breeds,living17,val_target,0.141400,0.800554,0.868611,0.862219,0.003049,0.000871,0.135596
breeds,living17,val_target,0.151510,0.795852,0.858998,0.852245,0.002793,0.000802,0.134037
breeds,living17,val_target,0.161597,0.791444,0.849384,0.842296,0.002544,0.000729,0.132262
breeds,living17,val_target,0.171706,0.786605,0.839638,0.832201,0.002355,0.000729,0.130695
breeds,living17,val_target,0.181793,0.781925,0.829946,0.822276,0.002143,0.000639,0.128998
breeds,living17,val_target,0.191903,0.776677,0.820264,0.812219,0.001906,0.000614,0.127599
breeds,living17,val_target,0.202013,0.771520,0.810486,0.802154,0.001722,0.000594,0.126110
breeds,living17,val_target,0.212100,0.766795,0.800654,0.792159,0.001582,0.000544,0.124333
breeds,living17,val_target,0.222210,0.761501,0.790743,0.782094,0.001475,0.000521,0.122835
breeds,living17,val_target,0.232297,0.756458,0.780852,0.772186,0.001367,0.000412,0.121171
breeds,living17,val_target,0.242406,0.751255,0.770844,0.762084,0.001318,0.000412,0.119561
breeds,living17,val_target,0.252516,0.745780,0.760967,0.752016,0.001180,0.000390,0.118067
breeds,living17,val_target,0.262603,0.741191,0.751056,0.741971,0.001077,0.000367,0.115962
breeds,living17,val_target,0.272713,0.734716,0.741044,0.731868,0.001024,0.000367,0.115038
breeds,living17,val_target,0.282800,0.728673,0.731137,0.721819,0.000913,0.000346,0.113870
breeds,living17,val_target,0.292910,0.722834,0.721066,0.711717,0.000899,0.000346,0.112482
breeds,living17,val_target,0.303019,0.716360,0.711034,0.701614,0.000856,0.000346,0.111480
breeds,living17,val_target,0.313106,0.710271,0.701044,0.691554,0.000798,0.000331,0.110233
breeds,living17,val_target,0.323216,0.704523,0.691023,0.681451,0.000744,0.000331,0.108631
breeds,living17,val_target,0.333326,0.697730,0.680952,0.671348,0.000727,0.000331,0.107802
breeds,living17,val_target,0.343413,0.691415,0.670978,0.661297,0.000652,0.000309,0.106602
breeds,living17,val_target,0.353523,0.684804,0.660903,0.651231,0.000635,0.000280,0.105533
breeds,living17,val_target,0.363610,0.678988,0.650854,0.641150,0.000615,0.000280,0.103849
breeds,living17,val_target,0.373719,0.672149,0.640786,0.631046,0.000592,0.000280,0.102904
breeds,living17,val_target,0.383829,0.665993,0.630712,0.621015,0.000573,0.000220,0.101419
breeds,living17,val_target,0.393916,0.660222,0.620694,0.610972,0.000525,0.000187,0.099554
breeds,living17,val_target,0.404026,0.653429,0.610643,0.600867,0.000485,0.000187,0.098439
breeds,living17,val_target,0.414113,0.646205,0.600589,0.590783,0.000466,0.000187,0.097671
breeds,living17,val_target,0.424222,0.640275,0.590535,0.580677,0.000425,0.000187,0.095787
breeds,living17,val_target,0.434332,0.633664,0.580469,0.570571,0.000394,0.000187,0.094368
breeds,living17,val_target,0.444419,0.626576,0.570418,0.560515,0.000369,0.000163,0.093437
breeds,living17,val_target,0.454529,0.619829,0.560408,0.550452,0.000284,0.000123,0.092059
breeds,living17,val_target,0.464616,0.613059,0.550346,0.540409,0.000266,0.000084,0.090689
breeds,living17,val_target,0.474726,0.605766,0.540242,0.530301,0.000266,0.000084,0.089761
breeds,living17,val_target,0.484835,0.598292,0.530137,0.520193,0.000266,0.000084,0.088922
breeds,living17,val_target,0.494922,0.590885,0.520056,0.510108,0.000266,0.000084,0.088068
breeds,living17,val_target,0.505032,0.583911,0.509951,0.500000,0.000266,0.000084,0.086731
breeds,living17,val_target,0.515119,0.576732,0.499870,0.489915,0.000266,0.000084,0.085521
breeds,living17,val_target,0.525229,0.569666,0.489765,0.479807,0.000266,0.000084,0.084171
breeds,living17,val_target,0.535339,0.562783,0.479717,0.469699,0.000206,0.000084,0.082531
breeds,living17,val_target,0.545426,0.555195,0.469654,0.459613,0.000184,0.000084,0.081526
breeds,living17,val_target,0.555535,0.547448,0.459548,0.449505,0.000184,0.000084,0.080790
breeds,living17,val_target,0.565622,0.540677,0.449482,0.439420,0.000165,0.000084,0.078870
breeds,living17,val_target,0.575732,0.532794,0.439399,0.429312,0.000137,0.000084,0.078084
breeds,living17,val_target,0.585842,0.525047,0.429316,0.419204,0.000108,0.000084,0.077146
breeds,living17,val_target,0.595929,0.517595,0.419231,0.409118,0.000108,0.000084,0.075812
breeds,living17,val_target,0.606039,0.509848,0.409123,0.399010,0.000108,0.000084,0.074755
breeds,living17,val_target,0.616126,0.501579,0.399086,0.388945,0.000045,0.000058,0.074370
breeds,living17,val_target,0.626235,0.493968,0.388978,0.378836,0.000045,0.000058,0.073026
breeds,living17,val_target,0.636345,0.485994,0.378869,0.368728,0.000045,0.000058,0.072138
breeds,living17,val_target,0.646432,0.478043,0.368783,0.358642,0.000045,0.000058,0.071031
breeds,living17,val_target,0.656542,0.470205,0.358674,0.348533,0.000045,0.000058,0.069955
breeds,living17,val_target,0.666652,0.462594,0.348565,0.338425,0.000045,0.000058,0.068329
breeds,living17,val_target,0.676739,0.454324,0.338479,0.328339,0.000045,0.000058,0.067669
breeds,living17,val_target,0.686848,0.446259,0.328370,0.318230,0.000045,0.000058,0.066594
breeds,living17,val_target,0.696935,0.437854,0.318284,0.308144,0.000045,0.000058,0.066022
breeds,living17,val_target,0.707045,0.429152,0.308175,0.298036,0.000045,0.000058,0.065653
breeds,living17,val_target,0.717155,0.420951,0.298066,0.287927,0.000045,0.000058,0.064894
breeds,living17,val_target,0.727242,0.412500,0.287980,0.277841,0.000045,0.000058,0.064229
breeds,living17,val_target,0.737351,0.404344,0.277872,0.267733,0.000045,0.000058,0.062908
breeds,living17,val_target,0.747438,0.396165,0.267785,0.257647,0.000045,0.000058,0.061720
breeds,living17,val_target,0.757548,0.387555,0.257677,0.247539,0.000045,0.000058,0.061211
breeds,living17,val_target,0.767658,0.379263,0.247568,0.237430,0.000045,0.000058,0.059996
breeds,living17,val_target,0.777745,0.370584,0.237482,0.227344,0.000045,0.000058,0.059281
breeds,living17,val_target,0.787855,0.361883,0.227392,0.217260,0.000000,0.000000,0.058941
breeds,living17,val_target,0.797942,0.353114,0.217305,0.207173,0.000000,0.000000,0.058346
breeds,living17,val_target,0.808051,0.344730,0.207195,0.197064,0.000000,0.000000,0.057356
breeds,living17,val_target,0.818161,0.335984,0.197086,0.186954,0.000000,0.000000,0.056359
breeds,living17,val_target,0.828248,0.327351,0.186999,0.176867,0.000000,0.000000,0.055541
breeds,living17,val_target,0.838358,0.318513,0.176889,0.166757,0.000000,0.000000,0.055176
breeds,living17,val_target,0.848445,0.309608,0.166802,0.156670,0.000000,0.000000,0.055000
breeds,living17,val_target,0.858555,0.301043,0.156692,0.146560,0.000000,0.000000,0.053686
breeds,living17,val_target,0.868664,0.292251,0.146583,0.136451,0.000000,0.000000,0.052786
breeds,living17,val_target,0.878751,0.283345,0.136496,0.126364,0.000000,0.000000,0.052190
breeds,living17,val_target,0.888861,0.274644,0.126386,0.116254,0.000000,0.000000,0.050497
breeds,living17,val_target,0.898948,0.265875,0.116299,0.106167,0.000000,0.000000,0.049202
breeds,living17,val_target,0.909058,0.256946,0.106189,0.096057,0.000000,0.000000,0.047807
breeds,living17,val_target,0.919168,0.248200,0.096079,0.085947,0.000000,0.000000,0.045926
breeds,living17,val_target,0.929255,0.238976,0.085992,0.075860,0.000000,0.000000,0.045480
breeds,living17,val_target,0.939364,0.229593,0.075883,0.065751,0.000000,0.000000,0.045480
breeds,living17,val_target,0.949451,0.220279,0.065796,0.055664,0.000000,0.000000,0.045480
breeds,living17,val_target,0.959561,0.211350,0.055686,0.045554,0.000000,0.000000,0.045480
breeds,living17,val_target,0.969671,0.202422,0.045576,0.035444,0.000000,0.000000,0.044877
breeds,living17,val_target,0.979758,0.193516,0.035489,0.025357,0.000000,0.000000,0.036920
breeds,living17,val_target,0.989868,0.184224,0.025379,0.015247,0.000000,0.000000,0.030628
breeds,living17,val_target,0.999977,0.174842,0.015270,0.005138,0.000000,0.000000,0.000000
breeds,living17,imagenet_val_source,0.000000,0.984706,0.998709,0.998232,0.001291,0.001768,0.015294
breeds,living17,imagenet_val_source,0.010000,0.982941,0.990772,0.991768,0.000262,0.000000,0.011263
breeds,living17,imagenet_val_source,0.020000,0.976471,0.981075,0.981768,0.000110,0.000000,0.009587
breeds,living17,imagenet_val_source,0.030000,0.966471,0.971196,0.971768,0.000049,0.000000,0.009587
